EYFP	mKate
143.650009	17.82
22.950001	1.62
389.300018	624.51001
5.1	5.67
1293.700073	620.460022
6732	10967.40039
6349.5	9307.709961
2.55	7.29
581.400024	738.720032
8.5	21.059999
334.050018	37.259998
4925.75	7658.549805
17.85	6.48
5245.350098	7515.990234
98.600006	36.450001
3450.150146	3786.75
946.050049	732.23999
40387.75	48443.67188
24.650002	19.440001
158.949997	281.880005
76.5	52.650002
20.400002	7.29
68778.60156	42148.35156
2031.5	4973.399902
228.650009	215.460007
147.050003	390.420013
155.550003	127.169998
238	133.649994
42.5	2.43
11.900001	12.96
20358.34961	15233.66992
1604.800049	2503.709961
1890.400024	4970.970215
8.5	9.72
12852.85059	30708.7207
19.550001	11.34
3501.150146	3191.399902
258.399994	122.309998
7.65	8.1
10437.15039	6083.100098
79.050003	36.450001
4025.600098	7608.330078
85371.45313	19448.09961
3540.25	7449.569824
1791.800049	4061.340088
4060.450195	8245.799805
699.550049	402.570007
2079.949951	4446.089844
368.050018	201.690002
345.100006	232.470001
28.900002	30.780001
21.25	7.29
4780.399902	7707.149902
1230.800049	1598.940063
14.450001	29.969999
19.550001	19.440001
4.25	18.629999
2923.150146	4527.899902
40233.90234	36241.01953
2474.350098	2004.75
3034.5	2400.840088
8.5	21.059999
129.199997	78.57
317.050018	238.139999
22.950001	36.450001
32.299999	21.059999
544	769.5
515.100037	534.599976
12.75	17.01
17	8.1
40.800003	19.440001
4213.450195	9681.929688
11233.60059	3953.610107
59.5	3.24
32.299999	29.969999
28.900002	20.25
784.550049	1159.109985
230.350006	114.209999
227.800003	411.480011
6.8	5.67
178.5	209.789993
1094.800049	643.950012
2833.900146	1564.109985
14055.60059	19156.5
8.5	1.62
21.25	8.91
17430.09961	28159.65039
638.350037	850.5
859.350037	448.73999
253.300003	416.339996
770.100037	2319.030029
617.100037	201.690002
26.35	5.67
33.150002	7.29
12.75	3.24
4.25	29.16
3231.700195	9140.849609
4238.950195	3649.050049
2238.900146	1637.819946
77.349998	17.01
1779.900024	6299.370117
3430.600098	3835.350098
138.550003	89.910004
10.200001	5.67
46896.20313	31176.90039
50.150002	10.53
6.8	20.25
1657.5	4381.290039
11.05	18.629999
7.65	4.05
22.950001	15.39
2506.650146	4951.529785
197.200012	66.419998
20.400002	23.49
27.200001	32.400002
343.400024	687.690002
18.700001	43.740002
51.850002	32.400002
124.950005	31.59
532.950012	1468.530029
21.25	15.39
4255.100098	6886.620117
11234.4502	17568.08984
28.050001	42.119999
7.65	25.110001
9158.75	8314.650391
1558.050049	3308.850098
2280.550049	2117.340088
59.5	5.67
3873.450195	1511.459961
10.200001	6.48
8431.150391	4092.120117
15.3	4.86
15.3	14.58
5.1	8.1
9.35	18.629999
17.85	12.96
283.899994	198.449997
10.200001	17.82
855.950012	188.729996
7.65	31.59
31.450001	51.029999
14.450001	29.969999
5753.650391	8947.259766
9888.900391	5392.169922
430.950012	224.369995
38.25	29.969999
12.75	19.440001
34	9.72
6.8	2.43
7.65	29.16
5426.400391	16525.61914
44.200001	8.91
1458.600098	1507.410034
7944.100098	20421.7207
7.65	17.01
34	21.059999
1.7	8.1
7070.300293	8401.320312
21.25	12.96
2884.900146	4909.410156
34	39.689999
10.200001	8.1
5480.800293	7492.5
32.299999	20.25
930.75	126.360001
1775.650024	1825.73999
0.85	12.96
4459.100098	3282.929932
5873.5	7100.459961
6330.800293	4003.830078
29439.75	17099.91016
1853.850098	2083.320068
230.350006	93.150002
1.7	8.91
771.800049	1126.709961
16300.4502	10978.74023
21.25	25.110001
1722.100098	1741.5
17.85	12.96
17	34.02
189.550003	494.100006
42.5	15.39
22.950001	14.58
136	54.27
7.65	23.49
1258	785.700012
15.3	11.34
920.550049	724.140015
218.450012	530.549988
10.200001	15.39
35.700001	17.82
371.450012	75.330002
39.950001	4.86
25.5	4.86
76.5	8.1
18.700001	8.1
17	29.16
14.450001	21.059999
7.65	8.91
35.700001	16.200001
345.950012	417.149994
833.850037	651.23999
22.1	30.780001
1135.599976	916.109985
30.6	31.59
6.8	36.450001
72.25	20.25
22.1	7.29
2.55	13.77
15691	22890.59961
213.350006	57.509998
22.1	1.62
3559.800049	3134.699951
26.35	17.01
924.800049	569.429993
277.950012	98.010002
8628.350586	22138.10938
3.4	4.86
4275.5	4325.399902
4.25	3.24
36.549999	2.43
546.549988	218.699997
25.5	24.299999
6891.800293	7464.149902
1263.950073	1219.859985
17	1.62
16.15	25.92
911.200012	973.619995
17	31.59
13.6	31.59
18.700001	33.209999
64.599998	31.59
1758.650024	2272.860107
26.35	12.96
1524.900024	1013.309998
1502.800049	392.040009
26.35	22.68
16.15	12.96
14.450001	34.830002
2238.900146	2722.409912
38.25	26.73
413.100006	268.920013
280.5	307.799988
16.15	25.110001
112.200005	24.299999
