EYFP	mKate
48.450001	36.450001
42.5	55.889999
60700.20313	23413.05078
10.200001	11.34
27.200001	4.86
39.950001	9.72
65047.95313	13500.27051
3398.300049	476.279999
13.6	23.49
45109.5	14166.08984
57.800003	8.1
2.55	6.48
1212.950073	43.740002
25522.95117	6770.790039
44.200001	26.73
3476.5	1278.98999
40.800003	23.49
41456.19922	16801.01953
7.65	14.58
22.1	17.01
37.400002	4.86
4882.399902	605.880005
82.450005	1.62
57.800003	25.92
18598	4378.049805
0.85	19.440001
27.200001	17.01
1555.5	123.93
100306.8047	40770.53906
28.050001	17.01
38654.60156	6231.330078
28.050001	32.400002
355.300018	33.209999
51.850002	36.450001
208.25	43.740002
7571.800293	1363.22998
79247.20313	27538.38086
39.950001	19.440001
4978.450195	869.130005
824.5	23.49
664.700012	12.15
5.1	5.67
110724.4063	34992
22420.45117	9417.870117
23351.20117	6650.100098
72499.89844	20041.83008
44296.90234	9190.259766
13824.40039	2522.340088
39.950001	21.870001
10.200001	8.91
11.900001	21.059999
306	34.830002
1011.5	34.830002
15366.30078	3521.880127
40.800003	17.01
50.150002	37.259998
116676.1016	24996.59961
5324.400391	1359.180054
6386.900391	1666.97998
57756.65234	18893.25
430.100006	34.830002
26628.80078	9411.389648
24.650002	15.39
742.900024	34.830002
34372.30078	9322.290039
46159.25	11192.58008
23.800001	8.91
2.55	11.34
44.200001	31.59
3110.150146	88.290001
29.75	3.24
59186.35156	18059.75977
23.800001	29.16
2108	123.93
12772.9502	2822.040039
24.650002	34.02
12.75	12.15
143.650009	36.450001
212.5	37.259998
24.650002	2.43
18.700001	29.969999
11568.5	2585.52002
51.850002	17.82
12.75	4.86
5.1	0.81
1411.850098	124.739998
69668.55469	30372.57031
45141.80078	16559.64063
43879.55078	13106.61035
28.050001	9.72
5.1	5.67
1965.200073	283.5
71521.55469	9691.650391
5.95	19.440001
28.900002	13.77
9.35	33.209999
1665.150024	395.279999
48.450001	20.25
1045.5	62.369999
16297.90039	3116.880127
41216.5	12998.87988
70009.39844	36545.58203
74.800003	49.41
22.950001	10.53
120712.75	26559.08984
20.400002	29.969999
2210	318.329987
18.700001	19.440001
29.75	8.91
1008.100037	55.889999
321.300018	25.92
